Endereço,Latitude,Longitude,Região
"Rodovia Marechal Rondon Km 104,5, S/N, Jardim Paraiso, Itu",-23.26417,-47.29917,"Centro, Itu, São Paulo, Brasil"
"Rua Professor Acacio de Vasconcelos de Camar, 481, Sao Luis, Itu",-2.52972,-44.30278,"Centro, São Luís, Maranhão, Brasil"
"Avenida PRESIDENTE VARGAS, 671, VILA VITORIA II, Indaiatuba",-23.08842,-47.2119,"Cidade Nova I, Indaiatuba, São Paulo, Brasil"
"Avenida DOUTOR ERMILINDO MAFFEI, 1199, SAO LUIZ, Itu",-23.26417,-47.29917,"Centro, Itu, São Paulo, Brasil"
"Avenida DOUTOR ERMELINDO MAFFEI, 1199, SAO LUIZ, Itu",-23.2642243,-47.280937,"Jardim Paraíso I, Itu, São Paulo, Brasil"
"Rua DOUTOR EUGENIO DA FONSECA, 383, JARDIM AEROPORTO I, Itu",-23.26417,-47.29917,"Centro, Itu, São Paulo, Brasil"
"Avenida DR. ERMELINDO MAFFEI, 734, SAO LUIZ, Itu",-23.2645744,-47.2828289,"Bairro São Luiz, Itu, São Paulo, Brasil"
"Rua DOUTOR SILVA CASTRO, 78, Vila Nova, Itu",-23.2722159,-47.2915065,"Vila Nova, Itu, São Paulo, Brasil"
"Rua ANTONIO ANGELINO ROSSI, 781, Jardim Morada do Sol, Indaiatuba",-23.1255744,-47.2383474,"Jardim Morada do Sol, Indaiatuba, São Paulo, Brasil"
"Rua DO RETIRO, 2400, Vila das Hortencias, Jundiaí",-23.1797337,-46.9055741,"Chácara Urbana, Jundiaí, São Paulo, Brasil"
"Avenida ANTONIO PINCINATO, 21, Recanto Quarto Centenario, Jundiaí",-23.18639,-46.88417,"Vila Municipal, Jundiaí, São Paulo, Brasil"
"Rua REINALDO ORSI, 50, Retiro, Jundiaí",-23.1800435,-46.9137544,"Vila Alvorada, Jundiaí, São Paulo, Brasil"
"Avenida OSMUNDO DOS SANTOS PELLEGRINI, 1000, Recanto Quarto Centenario, Jundiaí",-23.18639,-46.88417,"Vila Municipal, Jundiaí, São Paulo, Brasil"
"Avenida QUATORZE DE DEZEMBRO, 2333, Vila Mafalda, Jundiaí",-23.2119361,-46.8743426,"Vila Rami, Jundiaí, São Paulo, Brasil"
"Rodovia VEREADOR GERALDO DIAS, S/N, PARQUE CENTENARIO, Jundiaí",-23.1372014,-46.9204443,"Parque Centenário, Jundiaí, São Paulo, Brasil"
"Rua Do Retiro, 2235, Vila das Hortencias, Jundiaí",-23.1793859,-46.9074326,"Retiro, Jundiaí, São Paulo, Brasil"
"Avenida ANTONIO SEGRE, 504, Ponte de Campinas, Jundiaí",-23.1783051,-46.8974108,"Vila Municipal, Jundiaí, São Paulo, Brasil"
"Avenida ANTÔNIO FREDERICO OZANAN, 6001, Vila Rio Branco, Jundiaí",-23.172492,-46.8916714,"Vila Rio Branco, Jundiaí, São Paulo, Brasil"
"Avenida HUMBERTO CERESER, 3.805, Jardim Caxambu, Jundiaí",-23.1512348,-46.8491246,"Caxambu, Jundiaí, São Paulo, Brasil"
"Rua JOAO FERRARA, 233, Jd. Cica, Jundiaí",-23.18639,-46.88417,"Vila Municipal, Jundiaí, São Paulo, Brasil"
"Avenida SAMUEL MARTINS, 2423, Jardim do Lago, Jundiaí",-23.2023916,-46.8741897,"Vila Progresso, Jundiaí, São Paulo, Brasil"
"Avenida Dos Imigrantes Italianos, 1973, Colonia, Jundiaí",-23.1882135,-46.8563349,"Jardim Pacaembú, Jundiaí, São Paulo, Brasil"
"Rua BOM JESUS DE PIRAPORA, 2881, Vila Rami, Jundiaí",-23.2124794,-46.8807919,"Vila Rami, Jundiaí, São Paulo, Brasil"
